Longitude,Latitude,Pixel,Scan
163.1644,21.4219317,500,900
163.144002,21.4227231,600,900
163.123606,21.423512,700,900
163.10321,21.4242983,800,900
163.082815,21.4250821,900,900
163.062421,21.4258634,1000,900
163.042028,21.4266422,1100,900
163.021635,21.4274184,1200,900
163.001242,21.4281922,1300,900
162.98085,21.4289634,1400,900
162.960458,21.4297321,1500,900
162.940066,21.4304984,1600,900
162.919674,21.4312621,1700,900
162.899282,21.4320234,1800,900
162.87889,21.4327822,1900,900
162.858497,21.4335385,2000,900
162.838104,21.4342923,2100,900
162.81771,21.4350436,2200,900
162.797316,21.4357925,2300,900
162.776921,21.4365389,2400,900
162.756525,21.4372828,2500,900
162.736129,21.4380243,2600,900
162.715731,21.4387633,2700,900
162.695332,21.4394999,2800,900
162.674932,21.440234,2900,900
162.654531,21.4409657,3000,900
162.634128,21.4416949,3100,900
162.613723,21.4424217,3200,900
162.593317,21.443146,3300,900
162.572909,21.4438679,3400,900
162.552499,21.4445874,3500,900
162.532088,21.4453044,3600,900
162.511674,21.446019,3700,900
162.491258,21.4467312,3800,900
162.47084,21.447441,3900,900
162.450623,21.4481413,3999,900
163.265584,21.4017335,0,1000
163.245182,21.4025375,100,1000
163.224781,21.403339,200,1000
163.204382,21.4041379,300,1000
163.183985,21.4049342,400,1000
163.163588,21.405728,500,1000
163.143193,21.4065193,600,1000
163.122799,21.407308,700,1000
163.102406,21.4080942,800,1000
163.082013,21.4088779,900,1000
163.061621,21.4096591,1000,1000
163.04123,21.4104377,1100,1000
163.020839,21.4112138,1200,1000
163.000449,21.4119875,1300,1000
162.980059,21.4127586,1400,1000
162.959669,21.4135272,1500,1000
162.93928,21.4142934,1600,1000
162.91889,21.415057,1700,1000
162.8985,21.4158181,1800,1000
162.87811,21.4165768,1900,1000
162.85772,21.417333,2000,1000
162.837329,21.4180867,2100,1000
162.816938,21.418838,2200,1000
162.796546,21.4195867,2300,1000
162.776153,21.420333,2400,1000
162.75576,21.4210769,2500,1000
162.735365,21.4218183,2600,1000
162.71497,21.4225572,2700,1000
162.694573,21.4232937,2800,1000
162.674176,21.4240277,2900,1000
162.653776,21.4247593,3000,1000
162.633376,21.4254884,3100,1000
162.612973,21.4262151,3200,1000
162.59257,21.4269394,3300,1000
162.572164,21.4276612,3400,1000
162.551757,21.4283806,3500,1000
162.531347,21.4290976,3600,1000
162.510936,21.4298121,3700,1000
162.490522,21.4305242,3800,1000
162.470106,21.431234,3900,1000
162.449892,21.4319342,3999,1000
163.26477,21.3855419,0,1100
163.24437,21.3863458,100,1100
163.223972,21.3871471,200,1100
163.203575,21.3879459,300,1100
163.18318,21.3887421,400,1100
163.162786,21.3895358,500,1100
163.142393,21.390327,600,1100
163.122001,21.3911156,700,1100
163.10161,21.3919017,800,1100
163.08122,21.3926852,900,1100
163.06083,21.3934663,1000,1100
163.040441,21.3942448,1100,1100
163.020053,21.3950209,1200,1100
162.999665,21.3957944,1300,1100
162.979277,21.3965654,1400,1100
162.95889,21.397334,1500,1100
162.938502,21.3981,1600,1100
162.918115,21.3988635,1700,1100
162.897728,21.3996246,1800,1100
162.87734,21.4003832,1900,1100
162.856952,21.4011393,2000,1100
162.836563,21.4018929,2100,1100
162.816174,21.4026441,2200,1100
162.795785,21.4033928,2300,1100
162.775394,21.404139,2400,1100
162.755003,21.4048828,2500,1100
162.734611,21.4056241,2600,1100
162.714218,21.4063629,2700,1100
162.693823,21.4070993,2800,1100
162.673428,21.4078333,2900,1100
162.653031,21.4085648,3000,1100
162.632633,21.4092939,3100,1100
162.612233,21.4100205,3200,1100
162.591831,21.4107447,3300,1100
162.571428,21.4114665,3400,1100
162.551023,21.4121858,3500,1100
162.530616,21.4129028,3600,1100
162.510206,21.4136173,3700,1100
162.489795,21.4143293,3800,1100
162.469381,21.415039,3900,1100
162.449169,21.4157392,3999,1100
163.263985,21.3693828,0,1200
163.243588,21.3701866,100,1200
163.223192,21.3709879,200,1200
163.202797,21.3717866,300,1200
163.182404,21.3725828,400,1200
163.162012,21.3733764,500,1200
163.141622,21.3741675,600,1200
163.121232,21.374956,700,1200
163.100843,21.3757421,800,1200
163.080455,21.3765256,900,1200
163.060068,21.3773066,1000,1200
163.039682,21.3780851,1100,1200
163.019295,21.3788611,1200,1200
162.99891,21.3796346,1300,1200
162.978524,21.3804056,1400,1200
162.958139,21.381174,1500,1200
162.937754,21.38194,1600,1200
162.917369,21.3827036,1700,1200
162.896984,21.3834646,1800,1200
162.876598,21.3842231,1900,1200
162.856212,21.3849792,2000,1200
162.835826,21.3857328,2100,1200
162.815439,21.3864839,2200,1200
162.795052,21.3872326,2300,1200
162.774664,21.3879788,2400,1200
162.754275,21.3887226,2500,1200
162.733885,21.3894639,2600,1200
162.713494,21.3902027,2700,1200
162.693102,21.3909391,2800,1200
162.672709,21.391673,2900,1200
162.652315,21.3924045,3000,1200
162.631918,21.3931336,3100,1200
162.611521,21.3938603,3200,1200
162.591122,21.3945845,3300,1200
162.570721,21.3953062,3400,1200
162.550318,21.3960256,3500,1200
162.529913,21.3967425,3600,1200
162.509506,21.397457,3700,1200
162.489097,21.3981691,3800,1200
162.468685,21.3988788,3900,1200
162.448476,21.399579,3999,1200
163.263222,21.3532322,0,1300
163.242826,21.3540361,100,1300
163.222433,21.3548375,200,1300
163.202041,21.3556363,300,1300
163.18165,21.3564326,400,1300
163.16126,21.3572264,500,1300
163.140872,21.3580176,600,1300
163.120484,21.3588063,700,1300
163.100098,21.3595924,800,1300
163.079712,21.3603761,900,1300
163.059327,21.3611572,1000,1300
163.038943,21.3619359,1100,1300
163.018559,21.362712,1200,1300
162.998176,21.3634856,1300,1300
162.977792,21.3642567,1400,1300
162.957409,21.3650254,1500,1300
162.937027,21.3657915,1600,1300
162.916644,21.3665552,1700,1300
162.896261,21.3673164,1800,1300
162.875878,21.3680751,1900,1300
162.855494,21.3688313,2000,1300
162.83511,21.3695851,2100,1300
162.814726,21.3703364,2200,1300
162.794341,21.3710852,2300,1300
162.773955,21.3718316,2400,1300
162.753568,21.3725755,2500,1300
162.733181,21.3733169,2600,1300
162.712792,21.3740559,2700,1300
162.692403,21.3747925,2800,1300
162.672012,21.3755266,2900,1300
162.651619,21.3762583,3000,1300
162.631226,21.3769876,3100,1300
162.61083,21.3777144,3200,1300
162.590433,21.3784388,3300,1300
162.570035,21.3791607,3400,1300
162.549634,21.3798803,3500,1300
162.529232,21.3805974,3600,1300
162.508827,21.3813121,3700,1300
162.48842,21.3820244,3800,1300
162.468011,21.3827342,3900,1300
162.447804,21.3834346,3999,1300
163.262403,21.3370088,0,1400
163.24201,21.3378125,100,1400
163.221619,21.3386136,200,1400
163.201229,21.3394121,300,1400
163.180841,21.3402081,400,1400
163.160453,21.3410016,500,1400
163.140067,21.3417926,600,1400
163.119682,21.342581,700,1400
163.099298,21.3433669,800,1400
163.078914,21.3441503,900,1400
163.058532,21.3449312,1000,1400
163.03815,21.3457096,1100,1400
163.017768,21.3464854,1200,1400
162.997387,21.3472588,1300,1400
162.977006,21.3480297,1400,1400
162.956625,21.3487981,1500,1400
162.936245,21.349564,1600,1400
162.915864,21.3503274,1700,1400
162.895484,21.3510883,1800,1400
162.875103,21.3518468,1900,1400
162.854722,21.3526028,2000,1400
162.83434,21.3533563,2100,1400
162.813958,21.3541074,2200,1400
162.793575,21.354856,2300,1400
162.773192,21.3556021,2400,1400
162.752807,21.3563458,2500,1400
162.732422,21.357087,2600,1400
162.712036,21.3578258,2700,1400
162.691648,21.3585622,2800,1400
162.67126,21.3592961,2900,1400
162.65087,21.3600275,3000,1400
162.630478,21.3607566,3100,1400
162.610085,21.3614832,3200,1400
162.58969,21.3622073,3300,1400
162.569294,21.3629291,3400,1400
162.548896,21.3636484,3500,1400
162.528495,21.3643653,3600,1400
162.508093,21.3650798,3700,1400
162.487689,21.3657919,3800,1400
162.467282,21.3665016,3900,1400
162.447077,21.3672018,3999,1400
163.261557,21.3207696,0,1500
163.241166,21.3215727,100,1500
163.220777,21.3223733,200,1500
163.20039,21.3231714,300,1500
163.180004,21.3239669,400,1500
163.159619,21.3247599,500,1500
163.139235,21.3255504,600,1500
163.118852,21.3263384,700,1500
163.09847,21.3271238,800,1500
163.078089,21.3279067,900,1500
163.057708,21.3286871,1000,1500
163.037329,21.329465,1100,1500
163.016949,21.3302404,1200,1500
162.996571,21.3310133,1300,1500
162.976192,21.3317837,1400,1500
162.955814,21.3325517,1500,1500
162.935435,21.3333171,1600,1500
